region,rmse,activation_sd
dacc,473.77465158898394,552.1586799311106
lamyg,198.87419427808362,204.89008499187224
ldacc,311.71017963523616,356.42403088682
ldlpfc,393.8692495173053,414.5180802744564
linsula,219.21567928553813,253.34004154309983
lracc,326.9932169563213,322.18463756045645
lsts,557.4410435135798,572.2980880307747
lvlpfc,411.2597655633541,469.3470791166126
racc,490.4280743334536,476.13217971419425
ramyg,209.61041129287483,208.4048479644694
rdacc,307.7149157353147,353.0138723511267
rdlpfc,314.33539857588283,336.0892972596188
rinsula,217.72315731657213,237.2040958031185
rracc,332.5242279070825,324.06804772157443
rsts,475.64190989298584,511.10125727584057
rvlpfc,350.3140167293457,449.8058851795001
